Log 6	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 7	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 8	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 9	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 10	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 11	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude
	-60	12	14808	14808.12642		20	36	14692	14692.05772		-4	56	14600	14600.10794		64	44	14624	14624.20623		-4	-92	14784	14784.28679		-176	16	14684	14685.06343
	96	40	14552	14552.37163		-32	12	14692	14692.03975		-120	64	14800	14800.62485		96	-76	14684	14684.51048		-80	80	14740	14740.43419		44	-20	14860	14860.0786
	64	28	14624	14624.16685		76	8	14688	14688.1988		-76	-24	14852	14852.21384		-44	60	14672	14672.18866		52	76	14644	14644.28954		0	-16	14656	14656.00873
	-12	52	14704	14704.09684		-156	-8	14676	14676.83127		-40	-44	14664	14664.12057		-28	-36	14668	14668.0709		56	56	14700	14700.21333		-60	-12	14716	14716.12721
	52	-52	14676	14676.18425		32	60	14672	14672.15758		68	-32	14664	14664.19258		20	-4	14700	14700.01415		28	-8	14768	14768.02871		-68	-4	14648	14648.15838
	56	-60	14784	14784.22781		-108	28	14820	14820.41997		24	24	14728	14728.03911		48	-52	14720	14720.17011		-48	0	14740	14740.07815		24	8	14660	14660.02183
	20	-60	14776	14776.13535		-4	-52	14636	14636.09292		-8	-80	14788	14788.21855		32	-24	14740	14740.05427		-96	64	14688	14688.45315		-48	44	14716	14716.14406
	-64	16	14696	14696.14807		-4	-68	14724	14724.15757		4	-8	14676	14676.00273		-52	68	14728	14728.24878		-84	44	14700	14700.30585		32	8	14824	14824.0367
	88	44	14748	14748.32818		-88	0	14712	14712.26318		-12	28	14700	14700.03156		-20	-4	14632	14632.01422		-16	-68	14544	14544.16777		-60	32	14844	14844.15575
	12	-32	14772	14772.03953		-96	40	14708	14708.36769		56	-8	14836	14836.10785		20	16	14536	14536.02256		-124	-44	14736	14736.58739		80	-4	14656	14656.21888
