Log 0	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 1	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 2	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 3	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 4	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 5	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)
	-90	-29	6						-85	-33	10		-97	-25	7		-89	-62	11		-92	-31	12
	-93	-34	6						-89	-32	11		-89	-35	5		-108	32	-4		-96	-35	5
	-93	-31	9						-94	-27	8		-96	-34	6		-90	-55	-1		-96	-29	2
	-87	-36	6						-91	-34	7		-91	-34	1		-99	-9	7		-93	-33	7
	-93	-30	5						-91	-34	8		-96	-33	9		-87	-60	-1		-98	-31	1
	-93	-34	7						-92	-36	3		-93	-27	10		-92	-48	5		-93	-39	9
	-88	-36	6						-94	-27	6		-96	-31	7		-90	-59	9		-96	-34	7
	-88	-32	10						-93	-36	10		-97	-34	5		-92	-50	1		-94	-35	8
	-89	-35	6						-91	-33	11		-98	-29	3		-97	-29	8		-95	-41	6
	-84	-34	6						-93	-33	0		-89	-35	19		-94	-29	7		-92	-41	0
	-93	-35	0						-95	-33	6		-101	-31	7		-92	-48	3		-95	-25	5
	-96	-30	12						-90	-31	12		-93	-31	3		-93	-48	2		-94	-32	14
	-90	-35	7						-94	-31	7		-94	-25	3		-92	-26	0		-96	-32	8
	-91	-34	14						-93	-38	13		-92	-24	9		-92	-32	6		-94	-23	5
	-85	-31	5						-90	-32	11		-93	-32	3		-98	-30	2		-97	-25	5
	-96	-46	6						-92	-37	6		-87	-35	7		-90	-27	5		-94	-32	9
	-86	-33	11						-91	-33	9		-94	-29	4		-98	-20	4		-95	-36	6
	-93	-38	5						-91	-34	8		-86	-37	14		-91	-43	5		-91	-27	-3
	-94	-33	13						-94	-34	7		-94	-27	11		-95	-33	9		-101	-32	8
	-87	-35	14						-91	-35	4		-93	-23	11		-92	-27	6		-93	-35	6
	-93	-28	10						-93	-32	4		-94	-35	9		-99	-32	-1		-96	-43	13
	-93	-30	3						-90	-38	9		-90	-31	7		-94	-19	7		-103	-22	14
	-94	-35	8						-93	-31	7		-95	-24	2		-94	-29	8		-90	-55	-1
	-89	-35	7						-89	-38	7		-90	-43	3		-95	-20	13		-103	-33	7
	-92	-39	8						-93	-36	11		-97	-29	3		-89	-14	5		-83	-22	11
	-86	-35	15						-92	-35	13		-93	-38	7		-91	-51	10		-97	-31	4
	-89	-32	9						-91	-34	11		-100	-20	0		-100	-15	5		-88	-38	7
	-90	-35	10						-92	-29	19		-91	-30	0		-104	39	15		-88	-36	11
	-94	-31	5						-92	-33	10		-91	-35	11		-97	-49	-1		-87	-20	10
	-94	-31	10						-92	-32	5		-90	-29	4		-99	-21	2		-95	-6	8
	-87	-37	6						-91	-40	5		-91	-51	10		-98	-50	7		-87	-42	2
	-88	-29	4						-92	-36	14		-90	-29	6		-89	-18	13		-94	-8	2
	-88	-32	14						-89	-36	10		-93	-31	7		-93	-55	8		-94	-47	12
	-94	-36	6						-87	-30	12		-94	-4	6		-91	-45	6		-95	-22	14
	-98	-31	5						-93	-36	9		-100	-23	13		-99	-24	11		-96	-15	2
	-91	-37	5						-91	-31	13		-86	-81	6		-96	-27	12		-96	-17	-1
	-91	-34	13						-89	-31	5		-93	-44	5		-91	-39	-2		-93	-28	11
	-88	-36	9						-93	-37	11		-99	-14	2		-93	-30	15		-104	-17	12
	-91	-34	6						-91	-37	15		-93	-23	4		-92	-36	3		-105	-59	11
	-97	-32	8						-89	-32	2		-93	-22	15		-100	-31	7		-89	-6	6
	-90	-33	11						-94	-28	5		-102	-31	12		-90	-35	5		-100	-33	5
	-89	-33	12						-98	-36	14		-94	-39	7		-92	-30	1		-93	-23	4
